State,Vehicles,Murder2002,RoundMurder2002,Robbery,FSSGun,PGun2,PBlack,GunMurder,Suicide,GDP,Murder,RoundMurder,PGun,NGun,Pi,Southernness,PUrban,YearAdmitted,TestScore,Pnonwhite,Latitude,Geography,Population,Unfair,ZSouthernness,ZPnonwhite,PercentMurderWithGuns,filter_$,ZPBlack,CultViolence,Poverty,Density,ViolentCrime,Latitude,Longitude
Alabama,1030,9.29,9,125,78,16684,26.38,2.8,12.5,32615,4.2,4,51.7,4244406,3,4,59,1819,469,33,33,0.5,4.9,0,2.02386967333921,0.228798086055029,0.491228070175439,1,1.64558867660632,3.66945834994553,20.7,10298,1414,32.806671,-86.791130
Alaska,960,6.23,6,81,70,22273,4.27,2.7,22.1,61156,4.4,4,57.8,630685,1,0,66,1959,505,36,61,1,0.7,1,-0.804003020915575,0.415000783748748,0.482142857142857,1,-0.661223580232572,-1.46522660114815,10,1.264,661,61.370716,-152.404419
Arizona,460,9.34,9,167,67,7954,4.16,3.6,16.1,35195,5.5,6,31.1,5676111,4,1,90,1912,488,42,34,0.25,6.7,0,-.0970348473518794,0.787406179136188,0.765957446808511,1,-0.672700258127293,-0.769735105479173,7.86,40.33,288,33.729759,-111.431221
Arkansas,700,7.17,7,81,75,17843,15.76,3.2,14.3,31837,4.5,5,55.3,2589335,1,3,56,1836,475,25,35,0.25,3,0,1.31690149977551,-0.267742441128224,0.571428571428572,1,0.537567592588725,1.85446909236424,11.4,49.33,348,34.969704,-92.373123
California,540,7.13,7,187,53,5444,6.67,3.4,9.8,46029,4.9,5,21.3,33081513,5,0,95,1850,472,60,36,1,39,0,-0.804003020915575,1.90462236529851,0.772727272727273,1,-0.410823335256844,-1.21482635617242,1.14,11.8,169,36.116203,-119.681564
Colorado,340,4.1,4,81,57,15806,4.28,1.3,16.4,46242,2.3,2,34.7,4465926,9,1,86,1876,514,30,39,0.25,5.3,0,-.0970348473518794,.0425953883613087,0.464285714285714,1,-0.660180245878507,-0.757215093230386,15.18,14.5,414,39.059811,-105.311104
Connecticut,860,2.83,3,122,44,13783,10.34,2.7,7.4,54925,3.7,4,16.7,3173798,2,0,88,1788,515,29,42,1,3.5,0,-0.804003020915575,-.0194721775365979,1.125,1,-.0279196273147937,-0.831922648230369,7.6,67.73,124,41.597782,-72.755371
DC,350,39.95,40,689, , ,49.5,16.5,5.8,145663,21.8,22,3.6, ,5,1,100,1790, ,65,39,0.25,0.7,1,-.0970348473518794,2.21496019478804,2.8448275862069,0, , ,10.6,5.85,239,39.318523,-75.507141
Delaware,950,4.71,5,145,48,5636,20.95,4.2,10.7,61183,5.3,5,25.5,797365,6,1,83,1787,497,35,39,1,0.9,1,-.0970348473518794,0.352933217850842,0.724137931034483,1,1.07905812234874,0.982023274996858,7.5,12.1,227,38.897438,-77.026817
Florida,410,6.04,6,200,60,7510,15.91,3.9,13.3,34802,5,5,24.5,16695563,3,3,91,1845,484,42,28,1,19.8,0,1.31690149977551,0.787406179136188,0.684210526315789,1,0.553217607899708,1.87011910767522,28.48,15,788,27.766279,-81.686783
Georgia,820,7.9,8,172,74,9200,31.4,3.8,10.7,37702,5.3,5,40.3,8602636,5,4,75,1788,482,44,33,0.5,10,0,2.02386967333921,0.911541310932001,2.11111111111111,1,2.16934252234722,4.19321219568643,20.1,63.5,291,33.040619,-83.643074
Hawaii,360,3.07,3,93,29,2031,3.08,0.5,9.7,44442,1.8,2,6.7,1207947,8,0,92,1959,471,77,21,1,1.4,1,-0.804003020915575,2.95977098556292,0.25,1,-0.785380368366371,-1.58938338928195,10.2,105.2,291,21.094318,-157.498337
Idaho,790,2.39,2,18,71,15764,0.95,0.8,15.1,31945,1.3,1,55.3,1392013,9,0,71,1890,512,16,44,0,1.6,0,-0.804003020915575,-0.826350534209384,0.150943396226415,1,-1.00761058578233,-1.8116136066979,9.7,741.4,256,44.240459,-114.478828
Illinois,750,8.11,8,199,47,13879,14.88,2.8,8.5,46151,3.5,4,20.2,11393601,7,1,89,1818,499,36,40,0.5,12.9,0,-.0970348473518794,0.415000783748748,0.56,1,0.445754169430959,0.348719322079079,16.2,98.07,511,40.349457,-88.986137
Indiana,610,6.25,6,117,63,11614,9.07,2.2,12.4,39065,3.1,3,39.1,5757616,9,1,72,1816,511,18,40,0.5,6.5,0,-.0970348473518794,-0.702215402413571,0.415094339622642,1,-0.160423090281116,-0.257457937632996,13.8,6.858,288,39.849426,-86.258278
Iowa,1050,1.91,2,40,55,10127,2.68,0.7,10.6,42222,1.2,1,42.9,2705163,3,0,64,1846,522,11,42,0.25,3.1,0,-0.804003020915575,-1.13668836369892,0.368421052631579,1,-0.827113742528992,-1.63111676344457,11.3,54.81,295,42.011539,-93.210526
Kansas,830,4.75,5,90,64,12516,6.15,2.2,13.7,41070,3.5,4,42.1,2533569,2,1,74,1861,520,22,39,0,2.9,0,-.0970348473518794,-0.453945138821944,0.709677419354839,1,-0.465076721668252,-0.562111569020131,18.3,105,730,38.526600,-96.726486
Kentucky,840,4.77,5,81,74,155,8.2,2.7,15.1,33519,4.5,5,47.7,3853358,3,3,58,1792,489,14,38,0.25,4.4,0,1.31690149977551,-0.950485666005197,0.75,1,-0.251193179084818,1.06570832069069,14.4,172.5,493,37.668140,-84.670067
Louisiana,610,13.5,14,176,76,13329,32.4,7.7,12.2,43145,9.6,10,44.1,4025634,8,4,73,1812,463,40,31,1.25,4.6,0,2.02386967333921,0.663271047340375,0.747572815533981,1,2.27367595775377,4.29754563109298,9.9,19.5,239,31.169546,-91.867805
Maine,780,0.85,1,21,61,11528,1.03,0.8,13.7,34597,1.8,2,40.5,1179585,4,0,39,1820,519,6,42,1,1.3,0,-0.804003020915575,-1.44702619318845,0.5,1,-0.999263910949805,-1.80326693186538,8.1,67.14,289,44.693947,-69.381927
Maryland,790,9.93,10,252,56,4040,30.1,5.1,9,46720,7.3,7,21.3,5126914,6,1,87,1788,502,45,39,1,6,0,-.0970348473518794,0.973608876829908,0.836065573770492,1,2.0337090563187,1.93667420896682,15,156.6,753,39.063946,-76.802101
Massachussetts,420,2.88,3,101,31,3796,8.1,1.8,7.6,53221,3.2,3,12.6,5814295,2,0,92,1788,531,24,42,1,6.7,0,-0.804003020915575,-0.329810007026131,0.9,1,-0.261626522625473,-1.06562954354105,10.2,102.6,333,42.230171,-71.530106
Michigan,870,6.95,7,130,57,9030,14.24,4.2,11,35298,5.6,6,38.4,8776672,6,0,75,1837,499,24,43,0.5,9.9,0,-0.804003020915575,-0.329810007026131,0.777777777777778,1,0.378980770770764,-0.425022250144811,10.6,24.8,751,43.326618,-84.536095
Minnesota,870,2.53,3,76,51,13285,4.57,1,10.8,47028,1.7,2,41.7,4709885,4,0,73,1858,535,17,46,0.25,5.4,0,-0.804003020915575,-0.764282968311477,0.625,1,-0.629923549610606,-1.43392657052618,9.7,606.2,642,45.694454,-93.900192
Mississippi,880,10.67,11,115,80,14165,37.3,4,13.8,28944,5.6,6,55.3,2634960,3,4,49,1817,451,42,33,0.5,3,0,2.02386967333921,0.787406179136188,0.465116279069767,1,2.78490979124588,4.80877946458509,9.2,470.7,689,32.741646,-89.678696
Missouri,830,6.45,6,138,65,14712,11.49,5.4,13.5,36815,7,7,41.7,5318167,3,2,70,1821,502,19,33,0.25,6,0,0.609933326211816,-0.640147836515664,0.818181818181818,1,.0920638234027427,0.701997149614559,10.1,852.1,432,38.456085,-92.288368
Montana,1120,2.52,3,25,67,25745,0.67,1.2,19.4,33204,2.1,2,57.7,878601,8,0,56,1889,529,12,38,0,1,0,-0.804003020915575,-1.07462079780101,0.333333333333333,1,-1.03682394769616,-1.84082696861174,15.2,57.05,483,46.921925,-110.454353
Nebraska,1000,2.89,3,67,58,8081,4.5,1.8,10.2,44943,2.8,3,38.6,1621791,3,0,73,1867,517,18,47,0,1.8,0,-0.804003020915575,-0.702215402413571,0.620689655172414,1,-0.637226890089065,-1.44122991100464,9.5,23.97,302,41.125370,-98.268082
Nevada,500,8.05,8,234,67,10155,9,3.1,18.3,41029,5.9,6,33.8,2398089,2,0,94,1864,477,46,38,0,2.8,0,-0.804003020915575,1.03567644272781,0.516666666666667,1,-0.167726430759575,-0.97172945167515,1.08,11.2,142,38.313515,-117.055374
New Hampshire,830,0.71,1,35,57,14522,1.22,0.4,11.1,42958,1,1,30,1169024,7,0,60,1788,514,8,43,0.5,1.3,0,-0.804003020915575,-1.32289106139264,0.444444444444444,1,-0.97944055822256,-1.78344357913813,11.2,285.3,417,43.452492,-71.563896
New Jersey,690,3.89,4,166,35,1536,14.46,2.8,8.7,49430,4.1,4,12.3,7807202,9,0,95,1787,519,41,40,1,9,0,-0.804003020915575,0.725338613238281,0.717948717948718,1,0.401934126560206,-0.402068894355369,3.58,15.4,275,40.298904,-74.521011
